pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0147,0.3059,-0.3357,20,118.41110372302,0.0231,-13.49390519243,0.0204,3035638633771535488,1.144,0.034,-1.188,0.03,0.114,0.025,1.033,15.385333,0.002831,15.823107,0.003862,14.776608,0.003202,1.046498,,,1.222,1668.216,406.601,690.728,0.98,0.8675908552236448,0.0018196398639857617,0.32217416315816577,0.13328879574493235
-0.1189,0.326,-0.3374,20,118.43296466609,0.095,-13.49192594144,0.0842,3035638461972841728,1.1972,0.1387,-1.54,0.121,-0.064,0.106,0.931,18.078405,0.003148,18.988678,0.045058,17.105316,0.01478,1.883362,,,1.345,713.073,24.143,74.806,0.84,0.563102380723424,0.0015826270650939266,0.0,0.0584029087426003
-0.0655,0.2732,-0.3279,20,118.3912605142,0.0184,-13.51816596389,0.0162,3035544556807629056,1.1463,0.0264,-1.577,0.024,0.12,0.02,1.169,11.722399,0.002776,11.765663,0.00285,11.637365,0.002815,0.128298,,,1.152,3244.834,1873.558,2937.256,0.99,1.8561372001744167,0.0005736577101881074,0.0,0.13242743510625607
-0.2351,0.3026,-0.3309,20,118.39666421421,0.1,-13.43518308361,0.099,3035641863586285696,1.1764,0.149,-1.577,0.123,0.171,0.122,0.983,18.292246,0.003275,19.311546,0.053261,17.289864,0.009738,2.021683,,,1.343,613.264,20.413,116.374,0.95,0.5392833095821241,0.004690007666921896,0.0,0.11592234370890674
-0.1276,0.2726,-0.2645,20,118.43199902216,0.0214,-13.42855554075,0.0215,3035642207183653248,1.1463,0.032,-1.566,0.027,0.104,0.027,1.584,11.736016,0.002779,11.793878,0.002832,11.624752,0.002815,0.169126,,,1.154,3020.954,2245.592,2903.938,0.99,1.8330013091520212,0.007601809760936691,0.82901080546242,0.08078020782299923
-0.0926,0.2284,-0.3365,20,118.4069170203,0.0094,-13.42452877062,0.0092,3035641897946017152,1.1354,0.0142,-1.515,0.012,0.02,0.011,1.019,13.343617,0.002769,13.641286,0.003001,12.883862,0.002858,0.757423,,,1.194,4016.557,981.661,1759.355,0.89,1.1448338440985124,0.026110423995495298,1.064682001346474,0.038623850464198146
-0.075,0.4483,-0.2485,19,118.45117261868,0.0104,-13.54367014912,0.0087,3035543491655717504,1.1451,0.0151,-1.557,0.014,0.06,0.011,0.922,13.151868,0.002765,13.380891,0.002828,12.775571,0.002838,0.60532,,,1.183,4593.186,2352.135,2092.765,0.98,1.317766465092467,0.00651716760883475,0.728135535139448,0.06004758140155493
-0.112,0.2194,-0.3952,20,118.36655040916,0.0156,-13.4330309252,0.0152,3035642035384989568,1.1776,0.0239,-1.474,0.019,0.157,0.018,0.999,11.53194,0.002781,11.560963,0.002844,11.467947,0.002809,0.093016,,,1.153,2886.472,1972.538,3307.767,0.99,1.955187708892266,0.0005612825685384744,0.0,0.10516733225996477
-0.2045,0.2842,-0.3651,20,118.34268974344,0.0235,-13.4616071479,0.0232,3035548061500368768,1.0886,0.0348,-1.372,0.029,0.116,0.028,2.639,13.414117,0.002783,13.709474,0.003159,12.951272,0.002932,0.758202,,,1.197,2776.86,732.644,1204.413,0.98,1.138533270672444,0.02791397491753198,1.0390626516280292,0.04173026886165155
-0.1296,0.2314,-0.3872,19,118.36052888469,0.0145,-13.42732132076,0.0144,3035642035384990720,1.147,0.0224,-1.608,0.018,0.112,0.017,0.865,11.377428,0.002778,11.40605,0.002856,11.313414,0.002818,0.092636,,,1.153,3068.381,1786.932,2725.628,0.99,2.03044283182423,0.005612330638100687,0.7214187071955578,0.187780848686114
-0.0515,0.283,-0.3409,20,118.34636933681,0.0384,-13.53393677386,0.0336,3035544316289487232,1.164,0.0568,-1.616,0.05,0.159,0.043,1.026,16.367933,0.003228,16.938377,0.008516,15.635164,0.00626,1.303213,,,1.255,645.959,134.935,193.735,0.98,0.7348111733532652,0.0008040061349534239,0.0,0.09310772114904932
-0.0074,0.3679,-0.3437,19,118.38681839427,0.0408,-13.5766672265,0.0337,3035543113698638976,1.1097,0.0583,-1.483,0.055,0.082,0.041,0.976,16.336237,0.002823,16.913635,0.00527,15.626904,0.00421,1.286732,,,1.235,1773.254,242.834,344.386,0.98,0.7374627963618242,0.0005274028115906133,0.0,0.07503391976062125
-0.1679,0.3582,-0.2901,20,118.41627224977,0.0112,-13.58204708864,0.0097,3035542941899933568,1.1392,0.0151,-1.585,0.015,0.293,0.012,0.928,12.580789,0.002766,12.725562,0.00287,12.329632,0.002846,0.39593,,,1.165,4491.433,1610.35,1934.052,0.75,1.5017565977356335,0.0015184394161596474,0.3411802492120637,0.2554327236578491
-0.2738,0.3997,-0.4167,19,118.29890378673,0.017,-13.5201215314,0.0159,3035547202506929920,1.1791,0.0269,-1.581,0.022,0.091,0.021,1.084,14.618972,0.002828,14.963807,0.003377,14.095842,0.003123,0.867965,,,1.209,1701.993,570.791,774.196,0.98,1.0033734465466184,0.001699061640418677,0.32878072552737886,0.16966740633521585
-0.1109,0.2085,-0.2904,20,118.45115088907,0.0556,-13.36243822282,0.0528,3035644200048449920,1.091,0.0791,-1.567,0.071,0.188,0.067,1.053,17.286718,0.002934,18.045809,0.012424,16.425037,0.007223,1.620771,,,1.291,1076.974,89.679,162.961,0.98,0.6396526706347566,0.000704173728446021,0.0,0.03999337373960953
-0.0467,0.2782,-0.1956,21,118.58527754787,0.0253,-13.51122855499,0.0221,3035590770655935616,1.1851,0.0336,-1.569,0.032,0.152,0.027,1.005,15.663279,0.002815,16.122885,0.004475,15.041258,0.003365,1.081627,,,1.221,1882.521,310.356,576.954,0.99,0.8279662450811844,0.00042156201874462965,0.0,0.04353462040051383
-0.0143,0.2363,-0.296,22,118.5895853514,0.0231,-13.54254603213,0.0199,3035589808583269248,1.1678,0.0318,-1.277,0.031,0.105,0.026,1.121,15.253815,0.002821,15.75669,0.003951,14.592708,0.003289,1.163982,,,1.23,1799.455,388.138,623.182,0.99,0.8235429165045326,0.021478711048786257,0.7204429324358295,0.03514340364892286
-0.1657,0.3913,-0.2814,21,118.57400691693,0.0592,-13.57777699185,0.0541,3035589327546949376,1.1794,0.0901,-1.427,0.078,-0.001,0.067,1.053,17.241941,0.002955,18.033844,0.012184,16.398863,0.005128,1.634981,,,1.265,1015.66,91.548,252.342,0.95,0.6424241565961119,0.0009736697744346404,0.0,0.08115900790639724
-0.0633,0.3584,-0.1261,18,118.50256137888,0.0518,-13.3210153662,0.0471,3035644711145559424,1.1696,0.0754,-1.492,0.066,0.111,0.059,1.108,16.922567,0.002846,17.583008,0.00756,16.137381,0.004931,1.445627,,,1.262,1521.068,154.537,267.069,0.99,0.6754037732274678,0.0006905742926308418,0.0,0.028573542488223354
-0.1004,0.1538,-0.1804,19,118.59295334751,0.0113,-13.33096900627,0.0114,3035647429863783040,1.1216,0.0159,-1.591,0.014,0.086,0.014,1.035,13.95648,0.002766,14.286987,0.003027,13.458882,0.002978,0.828105,,,1.201,4544.655,925.152,1044.143,0.99,1.079452494797898,0.017178085775825802,0.8389452345836041,0.0407684058752818
-0.1148,0.3614,-0.2362,20,118.28865649326,0.0743,-13.27179694356,0.0682,3035656977572301056,1.2498,0.1114,-1.576,0.092,0.186,0.082,0.953,17.756674,0.003051,18.677553,0.021961,16.85088,0.006509,1.826674,,,1.28,828.268,49.844,184.641,0.93,0.5925186511054165,0.0012827555657011112,0.0,0.06452317823809588
-0.1133,0.2228,-0.2262,21,118.14258771501,0.0151,-13.60918443558,0.0133,3035539986961974656,1.1224,0.0211,-1.532,0.02,0.188,0.017,1.034,11.723577,0.002771,11.769014,0.00284,11.634387,0.002823,0.134627,,,1.152,3711.233,2049.457,2515.194,0.99,1.8549601709138395,0.0014403953735968407,0.24912136997138262,0.27076132129375075
-0.1884,0.4131,-0.2072,19,118.24562201639,0.1493,-13.75286206873,0.1344,3035534077082461824,1.0749,0.213,-1.321,0.204,-0.067,0.172,1.06,18.774311,0.004222,19.338602,0.053966,17.548508,0.019785,1.790094,,,1.733,339.357,20.146,55.43,0.82,0.5182489134415529,0.0020289577635800495,0.0,0.02356021080288942
-0.2085,0.3238,-0.2996,19,118.09866850865,0.1606,-13.60212419827,0.1457,3035540227480167552,1.1464,0.2427,-1.629,0.196,-0.068,0.184,1.058,18.87184,0.004569,19.47967,0.038733,17.473438,0.056114,2.006231,,,1.94,297.885,28.104,19.373,0.76,0.5164512851239386,0.001005832716047595,0.0,0.0
-0.0578,0.3062,-0.1619,21,118.03583497944,0.0131,-13.45725465408,0.0117,3035562595669827840,1.1238,0.0175,-1.632,0.016,0.306,0.014,1.064,12.936354,0.002769,13.194143,0.002855,12.525404,0.002823,0.668739,,,1.187,4013.775,1791.127,2525.098,0.55,1.2404164624314609,0.027722817419429162,1.149266013389895,0.038300877360568794
0.0185,0.1722,-0.0597,22,118.80882602171,0.0111,-13.46454310522,0.0099,3035594618946488192,1.1068,0.0159,-1.574,0.015,0.186,0.013,0.983,14.035418,0.002775,14.32139,0.003029,13.591919,0.002924,0.729471,,,1.191,3308.199,920.066,1241.438,0.99,1.1215600728464628,0.0005321632627778385,0.0,0.12358340194565672
0.0842,0.1335,-0.4657,18,118.19099282448,0.0755,-13.16101580657,0.072,3035849151590102144,1.1235,0.1235,-1.477,0.099,0.284,0.096,0.98,17.790508,0.002984,18.679583,0.026144,16.878586,0.009978,1.800997,,,1.295,948.202,41.767,113.328,0.92,0.5899551965994886,0.0006597487635764381,0.0,0.032755831880232025
-0.0647,0.2838,-0.2935,21,117.97971014363,0.0314,-13.38998056491,0.0261,3035563970059370752,1.1444,0.0433,-1.63,0.038,0.123,0.031,0.931,16.097357,0.002913,16.61867,0.004511,15.425203,0.00349,1.193466,,,1.23,1148.156,306.301,517.773,0.99,0.7678133038044934,0.0004847840362176189,0.0,0.015232572567079179
-0.004,0.2347,-0.3231,21,117.97502340012,0.0211,-13.31690412474,0.0183,3035752536304127232,1.0865,0.0296,-1.608,0.028,0.096,0.022,0.939,15.309505,0.002778,15.811004,0.004003,14.646258,0.0031,1.164745,,,1.232,3056.171,378.232,803.654,0.97,0.8271546577396847,0.02249168290287321,0.6931805226398033,0.03935507582020214
0.1981,0.0159,-0.1321,21,118.89034903146,0.0082,-13.59458815717,0.0073,3035580428374543744,1.1718,0.0126,-1.261,0.014,0.228,0.012,0.957,13.023927,0.002765,13.237379,0.002825,12.670626,0.002815,0.566753,,,1.179,4732.268,2466.428,2890.728,0.98,1.357787434063399,0.0061587318631704914,0.6755383168012594,0.0842678613707327
