pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.0369,0.0204,-0.0382,26,304.47157411023,0.0631,39.33809395883,0.0716,2061380617558827520,0.711,0.0818,-3.831,0.08,-5.291,0.089,0.998,17.568695,0.003443,19.045818,0.038872,16.403946,0.008369,2.641872,,,1.417,526.019,28.003,137.611,0.61,1.0179619069246002,0.0572360350808251,0.8327186509385531,0.0751193136030297,0.8180253556386095,0.0869540871392751
-0.1023,0.0648,0.0188,27,304.46853928876,0.0183,39.33394586295,0.0209,2061380243916372096,0.641,0.0233,-3.715,0.023,-5.208,0.027,1.03,15.254198,0.002809,16.182379,0.004218,14.283597,0.003482,1.898782,,,1.338,1984.568,343.282,521.244,0.82,1.827578974795892,0.0363818374229433,1.525027678498749,0.2354498021228541,0.8344524091874429,0.12989806583591265
0.0042,0.1301,0.1325,25,304.46591426276,0.0868,39.33221928645,0.0946,2061380239601703040,0.5195,0.1129,-3.804,0.106,-4.944,0.123,0.926,18.06881,0.003588,19.658936,0.049347,16.853926,0.008754,2.80501,,,1.456,472.557,22.037,130.845,0.75,0.877019895994318,0.047870796099302,0.6884639120625272,0.0558643234027923,0.785003755567009,0.07676844009396008
0.0818,0.0564,0.1324,26,304.47384948155,0.1372,39.34588709727,0.1737,2061380617559399040,0.5785,0.1866,-3.72,0.176,-5.431,0.226,1.04,18.773638,0.005066,20.524994,0.095209,17.473778,0.020292,3.051216,,,1.538,255.411,11.409,54.02,0.62,0.7143318925769638,0.0208425897794304,0.5983558142901003,0.0582309864050938,0.8376439866509698,0.08510313313001734
-0.068,0.0658,0.0206,27,304.44600070771,0.0103,39.33866664924,0.0121,2061380312635856256,0.5741,0.0133,-3.772,0.013,-4.883,0.015,1.158,13.442606,0.002771,13.842945,0.002946,12.842677,0.002903,1.000268,,,1.233,3729.69,1146.563,1356.415,0.69,3.766693615592904,0.0055059685738131,0.0,0.0,0.0,0.0
-0.1835,0.1125,0.0011,26,304.46939285667,0.0982,39.35256334144,0.1109,2061380686280218240,0.6554,0.1251,-3.651,0.13,-5.315,0.164,1.052,18.173197,0.006032,19.610432,0.042141,16.982672,0.019186,2.62776,,,1.453,202.339,25.821,57.197,0.72,0.8609838454175464,0.0461659868547566,0.6743830329983183,0.0563100217668135,0.7832702513381846,0.07772598901011063
-0.1539,0.111,0.0361,26,304.48407903244,0.0131,39.34635741057,0.0156,2061380656233230848,0.6086,0.0173,-3.851,0.017,-4.91,0.022,1.069,14.432081,0.002788,15.189667,0.003207,13.53044,0.002867,1.659226,,,1.327,2560.918,686.484,1644.132,0.65,2.0022149290453304,0.0398897315269469,1.7245380832651245,0.1814883733078396,0.8613151656437783,0.09225376927469092
-0.0596,0.0866,0.099,26,304.47407131462,0.0317,39.32032828286,0.0371,2061380037757937280,0.585,0.0418,-3.33,0.04,-5.257,0.048,0.966,16.456881,0.002819,17.382477,0.006025,15.512555,0.003443,1.869922,,,1.314,1824.1,203.321,538.179,0.74,1.641359482603101,0.0059963252186133,0.0,0.0806577950684158,0.0,0.049140846915812254
-0.0183,0.0434,-0.0364,26,304.43591656325,0.0282,39.35140908001,0.0338,2061381068550105984,0.5713,0.0368,-3.762,0.036,-4.906,0.041,1.043,16.009268,0.003253,17.046345,0.007381,14.997465,0.006512,2.04888,,,1.348,627.951,158.882,184.516,0.72,1.6323444959838906,0.0453959341197195,1.3660868974812994,0.1509720950681228,0.8368863930636742,0.09537132720292427
0.0146,0.075,0.0062,27,304.43475014956,0.035,39.33028574791,0.0399,2061380273962393344,0.6662,0.0458,-3.551,0.047,-5.175,0.051,0.952,16.64958,0.003393,17.736393,0.017332,15.611414,0.007122,2.124979,,,1.362,548.274,63.47,165.681,0.83,1.4192108435699304,0.0549094211369776,1.1385305178214018,0.1230916572523034,0.8022278881110463,0.09211892229477475
-0.0764,0.0565,-0.0037,25,304.48460125454,0.0816,39.3581284973,0.0972,2061380651918571136,0.3846,0.1119,-3.58,0.102,-5.233,0.13,1.004,17.949034,0.003257,19.451794,0.03293,16.762766,0.008351,2.689028,,,1.437,625.337,33.09,137.947,0.83,0.9055699648371244,0.060126422223806,0.7256124690597225,0.0501061089167379,0.801277093140154,0.07675903838213541
-0.0843,0.0607,0.0354,26,304.45743107548,0.0112,39.31496753421,0.0131,2061380205240289152,0.6595,0.0146,-3.848,0.015,-5.204,0.017,1.113,12.994808,0.002781,13.440768,0.003081,12.326703,0.002817,1.114065,,,1.26,2887.688,831.011,2778.303,0.71,4.429306751128114,0.6967601168634368,2.5120938954464784,0.4569002523769208,0.5671528382645129,0.13638328437863895
-0.0846,0.0694,-0.0413,27,304.42859092561,0.0086,39.3531237475,0.0097,2061381102909847424,0.5954,0.011,-3.723,0.011,-5.022,0.012,0.919,12.765654,0.002766,13.217794,0.002951,12.124549,0.002864,1.093246,,,1.238,4467.484,1129.617,1677.132,0.84,5.457028133078228,0.5590463208651176,3.010741720317705,0.5719934134680462,0.5517181965890637,0.11908556004869764
-0.0653,0.0516,-0.0255,28,304.42482447733,0.0136,39.33918504283,0.0149,2061381034190368256,0.5969,0.0168,-3.866,0.017,-5.14,0.019,1.519,13.194543,0.002764,13.584353,0.002895,12.610224,0.002845,0.97413,,,1.227,5025.047,1403.675,1957.406,0.79,4.119528956513058,0.0576664925370131,0.0,0.1524333953743454,0.0,0.037002627480830094
0.0567,-0.046,0.2464,24,304.42622975099,0.1229,39.35218200766,0.1203,2061381102902229504,0.3845,0.1469,-3.849,0.168,-5.194,0.169,0.962,18.390263,0.004074,19.41292,0.137399,17.063095,0.02807,2.349825,,,1.712,361.788,7.904,38.872,0.73,0.9794760371131744,0.0126355785269991,0.0,0.0632965170757976,0.0,0.0646228337166394
-0.1721,0.1047,0.0025,26,304.50233513369,0.0151,39.34394795724,0.018,2061380450074795392,0.5817,0.0198,-3.683,0.02,-5.048,0.023,1.225,14.274502,0.002774,14.913737,0.003085,13.460372,0.002864,1.453365,,,1.293,3358.933,824.708,1674.862,0.87,2.110968864725212,0.0195253574617286,1.526413615699128,0.2020021997716487,0.7230867499781071,0.09592514354007924
-0.1105,0.077,0.0868,26,304.4889649531,0.0283,39.31587774118,0.0344,2061380342680907136,0.5516,0.0371,-3.698,0.036,-5.418,0.044,1.035,16.236742,0.00281,17.023264,0.006394,15.339156,0.003708,1.684108,,,1.314,1975.536,188.739,444.59,0.64,1.7056018634710113,0.0060588156296049,0.0,0.0706334051492722,0.0,0.04141259848621918
-0.0886,0.1865,0.0386,26,304.50520240928,0.1269,39.34073221365,0.149,2061380450067074048,0.4556,0.1689,-3.685,0.173,-4.868,0.201,0.985,18.725866,0.003883,20.470177,0.062591,17.422905,0.012269,3.047272,,,1.543,396.739,17.364,90.874,0.68,0.7214278196766134,0.0193484283392232,0.6121196466810954,0.0555670813190054,0.8484835627152327,0.08031497671000004
-0.1385,0.1204,0.0581,26,304.50076505694,0.103,39.3250628214,0.1195,2061380342681484672,0.6305,0.1329,-3.585,0.132,-5.237,0.162,1.072,18.315233,0.00425,19.983629,0.056501,17.095587,0.013377,2.888042,,,1.45,335.567,19.24,82.991,0.78,0.7931550342807105,0.0321357773076421,0.6503183903321949,0.0535703163164471,0.8199133362646432,0.07526833097486084
-0.0543,0.077,-0.1041,27,304.50610020565,0.0689,39.34840660466,0.0789,2061380553146297728,0.6693,0.0904,-3.677,0.094,-5.166,0.106,1.001,17.764936,0.003491,19.043638,0.025888,16.613276,0.007558,2.430363,,,1.439,506.349,42.185,154.581,0.8,0.9921151447922228,0.07196270411027,0.7641976797156541,0.0980411338976108,0.7702711562534396,0.11352119195765278
-0.1841,0.1161,-0.0287,27,304.5069063966,0.0184,39.33396657207,0.0223,2061380381355314432,0.563,0.0238,-3.93,0.024,-5.105,0.029,1.011,15.284351,0.002789,15.881904,0.003554,14.495368,0.003007,1.386536,,,1.289,2514.077,493.286,968.443,0.73,1.902129180197615,0.0056762459620506,0.0,0.1859407585539921,0.0,0.09775401191977637
-0.0892,-0.0225,-0.0877,26,304.42780185185,0.0489,39.36489037941,0.0564,2061381137269590016,0.5985,0.0647,-3.634,0.063,-5.066,0.073,0.99,17.120096,0.003459,18.254757,0.018934,16.070883,0.006515,2.183874,,,1.361,519.273,57.976,184.435,0.86,1.271618108802038,0.0608470705081519,0.8907250708672159,0.1664022304860028,0.7004658589726654,0.13508294013583372
0.0349,0.076,0.0661,25,304.42400809469,0.0855,39.31819645894,0.0925,2061380170882790656,0.2162,0.1089,-3.488,0.108,-5.109,0.123,1.03,18.076662,0.003108,20.052214,0.051973,16.772493,0.00684,3.27972,,,1.517,754.954,20.921,173.865,0.68,0.8249396744810784,0.0388498826408241,0.6784045973464455,0.0479730525387552,0.822368735960227,0.06986944375340857
-0.0064,0.0452,0.1292,25,304.48222633935,0.0889,39.30503449252,0.105,2061379964723777024,0.6438,0.1193,-3.74,0.111,-5.034,0.139,0.99,18.323654,0.006432,19.8508,0.05129,17.103216,0.016821,2.747583,,,1.473,186.802,21.2,65.451,0.77,0.8058332730820631,0.0343665023854393,0.6501192293989863,0.054122658475867,0.8067664256558695,0.0754635123575623
-0.0532,0.1141,-0.021,26,304.50850184549,0.0542,39.3551285193,0.0637,2061380553154011008,0.5238,0.0718,-3.742,0.07,-4.999,0.087,0.948,17.474434,0.013119,18.684902,0.055724,16.298565,0.036639,2.386337,,,1.481,84.65,19.509,29.72,0.84,1.0965198547142767,0.0539496395267836,0.8785261628251125,0.084193612321039,0.8011949432999849,0.08631021854495384
-0.0881,0.0531,0.0948,26,304.45719370948,0.025,39.30200745867,0.0288,2061380003398199424,0.6114,0.0318,-3.745,0.031,-5.168,0.036,0.934,15.989399,0.003166,16.954906,0.007531,14.999492,0.006011,1.955415,,,1.346,696.216,155.218,203.928,0.85,1.665775320359156,0.0487662245775828,1.259424811805674,0.2842543787664311,0.7560592334469997,0.17207337879746076
-0.1522,0.1633,-0.0257,27,304.51258288744,0.0559,39.33849596531,0.0634,2061380484434528384,0.7217,0.0712,-3.607,0.076,-5.186,0.088,5.923,10.821859,0.002771,11.15647,0.002864,10.291792,0.002797,0.864678,,,1.219,3659.234,1683.183,5369.271,0.75,10.414302300641856,0.485480708907991,7.414106612567416,1.3413279850956488,0.7119158248469961,0.13300370168815073
0.1045,-0.0733,0.1329,26,304.42734721526,0.0926,39.36884231419,0.1113,2061381137261984512,0.6345,0.1252,-3.891,0.112,-4.947,0.139,1.022,18.243137,0.029708,19.540356,0.091528,16.976397,0.083794,2.563959,,,1.571,36.705,11.868,12.964,0.62,0.8833292126976304,0.0505205669199138,0.6221489267125822,0.1094477661130169,0.7043228252494667,0.13028743708934276
-0.1758,0.1015,-0.0523,27,304.49508541548,0.0082,39.37220719212,0.0108,2061380759312448384,0.6057,0.011,-3.63,0.011,-5.072,0.014,1.024,12.556441,0.002766,12.930764,0.002973,11.995339,0.002823,0.935425,,,1.219,4552.904,1057.004,2528.656,0.87,6.106484250074312,0.5382955131407625,0.0,0.2133315582341997,0.0,0.034935250710194425
0.033,0.0596,0.071,27,304.40674019411,0.1005,39.33640853987,0.11,2061380995516899584,0.4524,0.1238,-3.947,0.132,-5.078,0.143,1.064,18.352993,0.009944,19.851068,0.056407,17.127481,0.029496,2.723587,,,1.484,113.64,19.272,36.976,0.69,0.8029998309913237,0.0340956296688968,0.6403450182193251,0.058809622068947,0.7974410373521535,0.08068574708829553
-0.1841,0.0856,-0.0477,28,304.51333431158,0.0105,39.36270995035,0.0122,2061380587513749888,0.5811,0.0135,-3.542,0.014,-5.354,0.017,1.063,13.002446,0.002767,13.397696,0.002903,12.416809,0.00284,0.980886,,,1.226,4238.783,1353.687,2053.414,0.79,5.474837021288352,0.6557623299564624,0.0,0.3331644129614403,0.0,0.060853759055468505
-0.0969,0.1489,0.0319,26,304.51739627678,0.1174,39.35605054781,0.1326,2061380548839355008,0.6195,0.1526,-3.431,0.154,-5.364,0.186,1.107,18.531111,0.00701,20.039896,0.054898,17.218269,0.022279,2.821627,,,1.591,168.448,19.803,49.121,0.67,0.7676367411282007,0.0242463118451536,0.61113860156369,0.0698183152997536,0.796129951603796,0.09436447369433669
-0.1509,0.1308,0.0601,28,304.52686641056,0.0077,39.35490109353,0.0089,2061380514477932928,0.5991,0.0098,-3.536,0.011,-5.217,0.012,0.895,12.242575,0.002766,12.572787,0.002881,11.731918,0.002832,0.840869,,,1.209,4569.722,1516.759,2245.35,0.87,6.526705312754344,0.2813234925246718,0.0,0.0,0.0,0.0
-0.1647,0.1014,0.0544,25,304.52354930088,0.1235,39.31717139957,0.1371,2061377426419472128,0.6435,0.1587,-3.827,0.158,-4.865,0.191,1.009,18.631954,0.003601,19.962612,0.081455,17.447056,0.011319,2.515556,,,1.467,468.376,13.337,98.975,0.6,0.8342026565669982,0.0227229358504789,0.0,0.1536575866560097,0.0,0.18419695195932145
-0.0122,0.0613,0.1028,26,304.53323443182,0.1188,39.34760080395,0.1328,2061380514479614336,0.4811,0.1556,-3.903,0.154,-5.149,0.181,0.998,18.610226,0.005374,20.006262,0.04359,17.455334,0.014808,2.550928,,,1.42,235.294,24.959,74.656,0.7,0.8279888627265558,0.0277221619481397,0.1145723987128131,0.1875927735094915,0.1383743234607381,0.22661173223168654
-0.1019,0.0283,0.0347,28,304.52933699349,0.0348,39.36161969272,0.0389,2061380518794267776,0.6392,0.0437,-3.818,0.046,-5.197,0.052,0.978,16.635815,0.003116,17.701717,0.010306,15.617779,0.00506,2.083939,,,1.347,746.174,109.437,257.192,0.77,1.4386939838311477,0.0577316608732489,1.1075209762575646,0.1383662045277227,0.769809972589382,0.10101409227684953
-0.1179,0.0123,-0.0658,27,304.49781258891,0.0209,39.38932085659,0.0258,2061380862391666560,0.6544,0.0269,-3.594,0.028,-5.21,0.035,1.017,15.481833,0.003105,16.42927,0.008786,14.447529,0.006688,1.981741,,,1.394,758.625,130.329,178.62,0.84,1.7834307056240115,0.0367286431965872,1.4772894453857617,0.2022264269002863,0.8283413763860632,0.1146678545785159
0.0237,0.1092,0.2552,22,304.49833869947,0.0891,39.3892278722,0.1503,2061380862384001792,0.36,0.1305,-3.567,0.121,-5.131,0.209,1.007,18.127609,0.003806,,,,,,,,,413.603,,,0.78,17.375019335533427,8.996504929632257,6.14710042186409,7.993267652601538,0.35378955862758293,0.49517419437036564
-0.1384,0.0119,-0.1041,27,304.49609267503,0.0195,39.39020151547,0.0232,2061380858078916608,0.6134,0.0249,-3.845,0.027,-5.154,0.031,1.019,15.332822,0.00286,16.222576,0.007716,14.371966,0.005278,1.85061,,,1.339,1417.646,150.928,242.369,0.8,1.8204973158563216,0.0376388054530102,1.4164132925787851,0.3904707394061406,0.7780364630268821,0.215088110515817
