pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.2056,0.1032,-0.0529,17,101.72248068808,0.0913,1.33386388119,0.0895,3125738698223721344,0.5503,0.1004,-0.921,0.123,0.229,0.109,0.991,17.56551,0.013362,18.661537,0.051807,16.469782,0.04224,2.191755,,,1.419,83.041,20.988,25.76,0.95,0.8321607981539905,0.02616898878767928,0.7456864161759923,0.03641255153130897
0.0397,0.1894,-0.04,17,101.73114261898,0.076,1.32073284017,0.0736,3125738384690049408,0.5178,0.087,-0.828,0.096,0.413,0.085,1.1,17.206224,0.003578,18.456116,0.021433,16.080139,0.010024,2.375977,,,1.417,475.545,51.093,112.768,0.93,0.8781718858682163,0.024650512689958114,0.8047519334924975,0.037173791680628517
0.1242,0.1573,-0.0548,16,101.73914096108,0.0368,1.31889478593,0.0357,3125738388986792064,0.619,0.0413,-1.012,0.047,0.209,0.043,0.983,15.896881,0.002812,16.477285,0.006519,15.163682,0.003353,1.313603,,,1.252,1940.907,184.291,583.841,0.99,1.1609862795953694,0.0033120483566512044,0.3445866266685674,0.2757571548340288
0.0418,0.2033,-0.0275,17,101.7451311985,0.0247,1.326193481,0.0237,3125738423345810048,0.5399,0.0287,-1.28,0.029,0.266,0.025,1.86,13.564369,0.002867,13.738495,0.003206,13.250935,0.004084,0.48756,,,1.18,1369.371,687.462,364.031,0.88,2.0574720803358195,0.01284329497064427,0.8004287203938134,0.25990964429042496
0.0168,0.1729,-0.0358,17,101.74279234242,0.1381,1.32096838742,0.1383,3125738419049787520,0.6117,0.158,-0.977,0.181,0.384,0.155,0.957,18.357944,0.006245,19.61132,0.079461,17.215525,0.023489,2.395796,,,1.434,193.746,13.672,46.553,0.94,0.7332026067367567,0.015528680097785852,0.568472720118826,0.05776055580293783
-0.1984,0.1124,0.0771,16,101.71852946197,0.0204,1.31613118041,0.0203,3125738079748438912,0.5747,0.0236,-0.944,0.027,0.439,0.028,1.094,14.582693,0.003055,15.388101,0.006815,13.668823,0.004362,1.719277,,,1.322,822.602,174.632,323.767,0.99,1.2727316652169234,0.04345650611490367,1.195609775903001,0.019572663289694026
-0.5497,0.2484,-0.1112,14,101.71713146338,0.0539,1.31697780337,0.0557,3125738075452571136,0.5578,0.0637,-1.216,0.09,0.325,0.09,0.987,16.404444,0.004197,16.865631,0.105748,15.344077,0.017049,1.521554,,,1.592,342.966,10.271,64.555,0.93,1.0835663230078894,0.02460766004835369,0.8249082962029008,0.155538943937152
-0.1236,0.1737,0.0227,17,101.71449144961,0.0435,1.31924818708,0.0437,3125738079749852032,0.5608,0.0496,-1.016,0.056,0.376,0.054,0.955,16.157104,0.01118,17.149921,0.051577,15.114048,0.030789,2.035873,,,1.391,100.203,21.081,35.41,0.99,1.0566192895300115,0.021917828820964734,0.9714724240903467,0.04964630539793245
-0.0677,0.1747,0.0453,17,101.70939467404,0.0837,1.34119722826,0.0836,3125738663863984256,0.5845,0.0971,-1.204,0.105,0.264,0.101,1.01,17.412161,0.003139,18.244183,0.024011,16.49934,0.007127,1.744843,,,1.313,721.933,45.526,165.544,0.94,0.9506558595279927,0.005227599871691353,0.203574094305187,0.18864762484421177
-0.108,0.2309,0.0284,17,101.71514280122,0.0185,1.31581793648,0.0188,3125738079748441344,0.6644,0.0225,-0.942,0.023,0.566,0.022,1.265,10.110991,0.002856,10.197121,0.003028,9.916903,0.003518,0.280217,,,1.173,1446.587,923.332,506.763,0.85,6.020249109651783,0.15670923097386924,5.608849693367838,0.18928135628859974
0.0529,0.2272,0.02,17,101.71297963367,0.1484,1.34825818231,0.1438,3125738762647177088,0.5008,0.172,-1.129,0.19,0.36,0.176,1.117,18.299156,0.006566,19.255238,0.085544,17.272232,0.01597,1.983006,,,1.385,182.175,12.699,69.047,0.91,0.7949033718181074,0.002495436914159818,0.0,0.04506320165155231
-0.332,0.017,0.1303,15,101.71081161048,0.0476,1.32009065116,0.0466,3125738075452404352,0.5982,0.0545,-1.012,0.069,0.438,0.069,0.942,16.329372,0.003531,17.272509,0.013311,15.35971,0.007994,1.912799,,,1.332,491.6,83.418,144.94,0.98,1.0311007750388819,0.022255397122927113,0.9436775380450242,0.05237120082455621
0.2922,0.3372,0.3439,12,101.7168682874,0.1383,1.31409030948,0.1217,3125738079746881536,0.418,0.1428,-1.013,0.238,0.367,0.188,1.085,17.465879,0.011577,17.364866,0.15611,16.137691,0.040804,1.227175,,,2.226,96.557,6.956,26.671,0.83,1.015901209079104,0.004355637994582038,0.0,0.017959712064907252
-0.0381,0.2148,0.0088,16,101.72301758922,0.052,1.31039927475,0.0525,3125738011028963456,0.6194,0.0607,-1.13,0.063,0.441,0.063,1.152,16.325249,0.00797,17.395002,0.03038,15.256107,0.022029,2.138895,,,1.398,145.172,35.89,49.688,0.97,1.02505665669383,0.02130236819630446,0.9508117254643735,0.04578183564065103
0.0512,0.1561,-0.0254,16,101.70664069584,0.0195,1.3242419745,0.019,3125738285907577344,0.6191,0.0218,-1.203,0.025,0.164,0.024,1.001,14.460563,0.002779,14.759741,0.00332,13.977021,0.003033,0.78272,,,1.208,2997.686,603.703,913.033,0.94,1.5709761218509066,0.002056333565321435,0.1366485289012704,0.2201045042698
0.0017,0.1887,-0.0011,17,101.7078055152,0.0225,1.32057166219,0.0221,3125738075452404224,0.596,0.0257,-1.055,0.028,0.136,0.027,1.003,14.836685,0.002809,15.155733,0.003452,14.339138,0.003199,0.816595,,,1.206,1993.31,534.157,694.308,0.98,1.4782926805137748,0.002008302701953117,0.0,0.10216907922145531
-0.0503,0.2069,0.0021,17,101.71574303676,0.0476,1.31155084796,0.0473,3125738075452402816,0.5708,0.0551,-1.007,0.061,0.41,0.058,1.053,16.407703,0.003593,17.410601,0.013677,15.395571,0.006955,2.01503,,,1.357,470.861,81.089,170.429,0.99,1.016829908681938,0.02320797340527341,0.9344597535253277,0.04755758459038101
-0.3937,0.1078,0.0744,16,101.71251552184,0.241,1.31316301476,0.2548,3125738075452440064,0.5836,0.2677,-1.228,0.332,0.507,0.318,1.075,18.661808,0.008438,19.537767,0.108989,17.462906,0.044436,2.074862,,,1.594,136.126,9.965,24.482,0.75,0.7578160848015414,0.005985764596768249,0.0,0.05364218290609191
-0.0018,0.1803,-0.0185,17,101.71475777867,0.0548,1.31110877992,0.0536,3125738079748443392,0.5582,0.062,-0.957,0.07,0.462,0.067,0.997,16.669334,0.003285,17.643543,0.016081,15.677246,0.009131,1.966297,,,1.345,607.251,68.558,124.885,0.98,0.9800833803175995,0.02157396777454141,0.8971311562378094,0.046418623578358506
-0.0858,0.2113,-0.0678,17,101.71998874205,0.1795,1.3080979918,0.1849,3125738006732926976,0.635,0.2041,-0.781,0.225,0.637,0.214,1.082,18.438707,0.004873,19.326674,0.058316,17.183784,0.010146,2.142889,,,1.657,270.099,18.639,111.307,0.74,0.7812028958622728,0.012003475688344449,0.20227872143398773,0.19358716271915363
