Cluster,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,bin_frac_05,n_members,rh,e_rh,t_relax,e_t_relax,tau,e_tau,bin_frac_corr,bin_frac_05_corr,n_systems,e_bin_frac,e_bin_frac_05
ASCC_10,51.9055,35.011,0.642,0.003,8.292,0.088,0.004,0.028,0.793,0.068,109,-1.35456,0.48142,1.25945,0.31552,-0.10962,0.06576,1.40198,0.09958,229,45,0.4587155963302752,0.51823,0.26538,1.53993,6.46874,0.34689,0.00332,0.2568807339449541,159.0,4.620835225892515,0.7684853895531584,51.50439541445623,13.80909263603292,3.80325729045677,1.2781630567259643,0.4770538696468246,0.26380814793177243,109,0.047727782958986685,0.052612010990986606
ASCC_105,295.5766,27.4244,0.552,0.002,8.117,0.053,-0.252,0.066,0.765,0.006,183,-1.60944,0.48663,0.85774,0.7519,-0.2,0.10014,1.46344,0.0994,304,60,0.7808988764044944,0.70889,0.21848,1.12542,5.59048,0.21638,0.05084,0.6348314606741573,327.0,4.367208272967956,0.5891684793963814,71.97247586765181,16.203968902771184,1.8190035943835363,0.465826852494724,0.699051871470025,0.5687334682592629,183,0.03779247744416307,0.05580748463560229
ASCC_107,297.1882,21.9844,0.847,0.008,7.652,0.359,0.253,0.187,1.463,0.204,108,-1.70302,0.30111,2.96674,0.39483,-0.16713,0.02491,1.34837,0.05922,409,81,0.7962962962962963,0.78835,0.22252,1.30286,3.00649,0.37446,0.00101,0.6574074074074074,194.0,2.217539343375912,0.2764582955329203,14.917878122106565,3.1566609712946945,3.0081046799017863,2.566760512386569,0.5231719603051358,0.3530268058378314,108,0.08848416616012542,0.09983776467885913
ASCC_108,298.4716,39.2269,1.157,0.003,8.241,0.071,-0.097,0.033,0.655,0.05,578,-2.09687,0.31721,1.99048,0.21577,-0.10409,0.02325,1.85483,0.05126,935,187,0.5508771929824562,0.59206,0.24218,1.04515,14.36767,0.11909,0.03634,0.3701754385964912,900.0,15.671585198727856,0.994455076906157,635.7463242720779,87.76978236776748,0.2739782845596412,0.0586254911319201,0.43850849000041475,0.24980707199350222,578,0.037622093977302144,0.06262168477675142
ASCC_11,53.0538,44.8967,0.826,0.005,8.443,0.194,-0.121,0.044,0.975,0.101,343,-2.03576,0.31698,1.91101,0.19597,-0.11307,0.02372,1.70787,0.05321,529,105,0.4912280701754385,0.60459,0.23087,1.26139,7.17919,0.13528,0.11318,0.3538011695906433,512.0,4.0710129080289965,0.3689007668057157,70.40830728639267,11.849712513767408,3.938910352397889,1.8802556817014413,0.4886348439258052,0.34339806714303756,343,0.02699330730393235,0.05266707034639218
ASCC_113,318.0091,38.6407,0.558,0.0,8.493,0.088,0.001,0.025,0.245,0.049,264,-1.07001,0.15283,1.64677,0.16999,-0.17986,0.02541,1.61565,0.02915,413,82,0.3984674329501915,0.54707,0.25176,1.22491,3.84242,0.17394,0.03741,0.2222222222222222,371.0,4.821042530072044,0.3654505893629758,79.20520469653174,11.955537137810872,3.9286765926914855,0.9926572421215308,0.5434876578365517,0.36602770790711564,264,0.050763875031245534,0.06617667412740205
ASCC_114,324.9969,53.9725,0.9,0.006,8.103,0.089,0.059,0.055,1.208,0.091,202,-1.88272,0.44541,1.77319,0.46454,-0.0781,0.04322,1.70778,0.09636,432,86,0.6767676767676768,0.72418,0.22917,1.63188,3.65671,0.36691,0.0,0.5606060606060606,340.0,2.9057061463490013,0.2888396023221471,33.79901322321326,6.05939508638202,3.750558803258842,1.0212040718541455,0.522699720469789,0.297781662080243,202,0.05452070978072389,0.08956712429694333
ASCC_115,329.2888,51.5256,0.747,0.003,8.308,0.187,0.049,0.063,0.907,0.09,66,-1.99703,0.3183,1.74194,0.21759,-0.03223,0.02622,1.41078,0.06483,140,28,0.5692307692307692,0.54377,0.22284,1.34019,2.9261,0.30138,0.07808,0.3846153846153846,104.0,3.24438038123677,0.3890995363847065,28.23482459597699,5.811326203424451,7.198050776011547,3.435246275495052,0.5669401722010019,0.3489829847867765,66,0.06095292527741786,0.05315377668611882
ASCC_12,72.4597,41.8028,1.014,0.012,8.496,0.318,-0.112,0.033,1.009,0.084,176,-2.16489,0.36861,2.08275,0.32005,-0.11315,0.02766,1.45514,0.05542,359,71,0.4431818181818182,0.65416,0.26551,0.9636,6.9973,0.30248,0.00148,0.3238636363636363,254.0,4.360444117660157,0.6503770437302471,54.131269850272666,13.24102892311157,5.788310034075076,4.468571623187028,0.5558194109131347,0.35365370015060466,176,0.04887018262895923,0.053211447089344804
ASCC_127,347.2824,64.9754,0.332,0.013,7.549,0.107,-0.005,0.044,0.575,0.055,185,-1.55944,0.42522,0.70514,0.31871,-0.2,0.08419,1.35808,0.10481,207,41,0.4277777777777777,0.65524,0.23954,1.04764,3.44143,0.17847,0.33502,0.2944444444444444,267.0,3.101229064452212,0.3702096870756908,44.46584981385906,9.0987990997857,0.7961105940071375,0.2549699860331292,0.5117309576630859,0.37450806060649283,185,0.04321368816505724,0.05702322394136999
