pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,er_q,r/rh
0.3342,-0.13,-0.0408,17,282.10188858686,0.0317,8.72248158413,0.0335,4287125926993921664,0.5041,0.0393,-0.17,0.041,-1.643,0.044,1.02,16.137178,0.002791,16.861786,0.004287,15.295481,0.003074,1.566305,,,1.286,2429.188,333.579,841.08,0.99,1.7566816583107778,0.0012306571829266,0.0,0.0888275345707626,0.0,,0.05430173374535369
0.4488,-0.1156,-0.0428,18,282.09545662653,0.1532,8.72332864795,0.1668,4287125922668855936,0.5376,0.1823,-0.061,0.199,-1.771,0.217,1.007,18.81221,0.003391,19.973104,0.03595,17.787554,0.012706,2.185551,,,1.331,549.329,30.293,87.587,0.94,0.947542827713191,0.0398471441293774,0.6249723030031147,0.2642262981259087,0.659571562070106,0.2802302791823012,0.06018604354281529
0.3136,-0.185,0.0481,17,282.10759417044,0.054,8.71685528098,0.0571,4287125858274129792,0.4719,0.0669,-0.041,0.068,-1.471,0.072,1.103,16.912977,0.002969,,,,,,,,,982.352,,,1.0,1.1784027450136405,0.811212509578476,0.4179100566675922,0.6143297559299694,0.3546411092777579,0.5756567550299384,0.08279532278670743
0.3454,-0.1057,0.0874,17,282.08766140904,0.0187,8.71414042143,0.0202,4287124449524866048,0.3746,0.0241,0.004,0.024,-1.667,0.028,1.036,14.978066,0.002775,16.335102,0.004003,13.848608,0.002866,2.486494,,,1.399,3267.736,378.188,1660.546,0.92,1.980198199660704,0.0544133671498572,1.7118399170236092,0.0920381284790638,0.8644790795774501,0.0521978102367419,0.10527259390033927
0.2886,-0.1825,0.0326,18,282.09809733911,0.0281,8.729545787,0.0286,4287125926993621248,0.4878,0.035,0.092,0.035,-1.417,0.037,0.978,15.804978,0.002788,16.515331,0.004477,14.968268,0.003052,1.547063,,,1.287,2550.937,310.052,877.848,0.99,1.8674817385393712,0.0136458580561224,0.9737760741235856,0.166967749934969,0.5214380703316612,0.0894891197874898,0.12258924712116104
0.4044,-0.0818,0.0232,17,282.08619132735,0.0186,8.71370154229,0.0203,4287124449524866560,0.4732,0.0231,-0.031,0.024,-1.476,0.028,0.977,15.03341,0.002775,15.787262,0.003368,14.16541,0.003027,1.621852,,,1.298,3280.98,575.571,925.041,1.0,2.045264236185069,0.0550831547758438,1.67544348241831,0.1086901078019047,0.8191819192729017,0.0575399862419054,0.1235326778990918
0.3122,-0.1359,-0.0206,18,282.11234794861,0.0213,8.70944739414,0.0222,4287125652115689344,0.416,0.026,-0.034,0.027,-1.217,0.028,1.057,15.228321,0.002776,15.901281,0.003329,14.421016,0.002963,1.480266,,,1.276,3232.374,597.816,1089.153,0.96,2.12409471503323,0.012276928342824,0.648851824348538,0.4968416014239172,0.3054721711589905,0.2339141242443724,0.14950237791155457
0.2944,-0.1324,-0.0047,18,282.11521725732,0.0117,8.71710270041,0.0122,4287125858274124928,0.4789,0.0146,-0.019,0.015,-1.322,0.016,1.018,13.724481,0.002775,14.737744,0.003004,12.73336,0.002819,2.004384,,,1.334,3314.384,976.02,2703.084,1.0,2.554387825107866,0.0134868166539993,1.2923696813387275,0.915615535955178,0.5059410590027196,0.3584580823865426,0.15141393305007306
0.3252,-0.0802,-0.0396,18,282.11064602919,0.0173,8.70492026963,0.0183,4287125652115687040,0.4198,0.0218,-0.34,0.022,-1.428,0.023,1.157,14.461017,0.002772,15.101331,0.003002,13.671138,0.002847,1.430193,,,1.273,3524.841,980.463,1921.28,0.93,2.196779221718772,0.0336355496544894,2.073742607304527,0.0514489325380323,0.9439922714136104,0.0275211745552323,0.1578519439736321
0.2349,-0.2404,0.0654,17,282.11464207022,0.0243,8.72319889589,0.0245,4287125892633869568,0.4874,0.0305,-0.06,0.03,-1.586,0.031,0.917,15.406222,0.002776,16.155579,0.003431,14.549881,0.002906,1.605698,,,1.29,3181.675,543.682,1335.715,1.0,1.8221471655206032,0.0447927537470256,1.6508216846925712,0.0621192472848163,0.9059760462437276,0.0407211583767558,0.1930808270508953
