pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,er_q,r/rh
0.2729,0.048,-0.2873,15,56.66398954459,0.0175,24.10299456629,0.0152,65225611037551360,7.3945,0.0205,20.529,0.024,-46.942,0.019,1.001,9.199545,0.002764,9.431398,0.002824,8.808819,0.002816,0.62258,4.21,1.15,1.189,4983.17,2496.921,2874.2,1.0,1.3801129173732587,0.0008332808986587,0.0,0.0587481149274274,0.0,,0.03008456462181555
0.2177,0.0597,-0.369,15,56.63002744351,0.1115,24.11714094376,0.0933,65226401312036864,7.4362,0.1385,18.38,0.159,-45.252,0.121,7.651,13.540735,0.003494,14.369823,0.006346,12.522509,0.004415,1.847314,1.88,6.87,1.413,505.324,190.482,317.297,1.0,0.6187650099358522,0.0025019434505694,0.1015315676824733,0.1290463746378119,0.1640874420048399,0.2085557935388482,0.031549647869081474
0.1391,0.2087,-0.0487,16,56.71438897123,0.1289,24.10432284781,0.0936,65225469302220800,7.4871,0.1443,21.455,0.178,-45.222,0.124,1.09,17.469643,0.003383,19.398048,0.052623,16.14061,0.009396,3.257439,,,1.554,553.19,20.661,121.008,1.0,0.2024145988804125,0.0018868017933363,0.0,0.0,0.0,,0.06467237577354143
0.2115,0.0986,-0.1865,16,56.66420881499,0.0122,24.02947983248,0.0093,65223618172733952,7.346,0.0142,20.265,0.015,-46.228,0.012,0.926,11.957084,0.002855,12.480111,0.004098,11.278872,0.003419,1.20124,6.22,1.2,1.234,1453.125,361.781,549.361,1.0,0.8194284750743127,0.0006705409274861,0.0,0.0,0.0,,0.06798186440248
0.2766,-0.076,-0.2996,15,56.60587308903,0.0638,24.15991869115,0.0496,65229734206151680,7.2429,0.0736,16.921,0.089,-48.015,0.067,2.622,14.781489,0.002922,16.170414,0.006406,13.620049,0.00328,2.550365,,,1.429,1115.634,188.275,629.86,1.0,0.4771383000701762,0.006298942139766,0.3331530242175406,0.0227937853597767,0.6982315696906773,0.0486530261914945,0.06834897599953735
0.2348,0.1878,-0.1144,16,56.64813693412,0.1542,24.02633213314,0.1202,65223583812996864,7.5512,0.1809,19.069,0.192,-45.64,0.149,1.933,17.106117,0.003755,18.959896,0.042272,15.698542,0.005203,3.261354,,,1.671,425.556,25.74,247.222,1.0,0.2365457838193444,0.0010586075803181,0.0,0.0,0.0,,0.06903436261076733
0.1711,0.1919,-0.0556,16,56.72491574885,0.0968,24.13237068038,0.0713,65226092073881856,7.1607,0.1106,19.309,0.135,-44.324,0.093,0.973,17.303078,0.003085,18.825335,0.067468,15.999248,0.007492,2.826087,,,1.577,782.979,16.106,156.158,1.0,0.2276444138238215,0.0031184149785178,0.0,0.0,0.0,,0.07422571913104427
0.3591,-0.0307,-0.4127,15,56.59787068226,0.0667,24.03074731526,0.0604,65223515093523328,7.4195,0.0889,19.227,0.092,-44.209,0.078,0.975,16.894072,0.003085,18.676842,0.046144,15.604281,0.00477,3.07256,,,1.521,782.025,23.572,280.678,1.0,0.254453308985574,0.0012526474008077,0.0,0.0,0.0,,0.07943099843048833
0.3339,0.0081,-0.2728,15,56.55372255611,0.015,24.05417116892,0.0125,65224442806459008,7.3768,0.0188,22.068,0.022,-46.128,0.017,1.027,13.603668,0.003526,14.4831,0.008517,12.671939,0.00683,1.811161,,,1.316,493.624,134.921,174.176,1.0,0.6105262430339927,0.0005804106491477,0.0,0.0105403745605682,0.0,,0.08633898770853322
0.2674,0.1602,-0.1717,16,56.68172301552,0.0287,23.99493684191,0.0219,65211557904569856,7.3364,0.0348,20.502,0.037,-45.336,0.028,1.047,15.067968,0.002883,16.340151,0.005435,13.95385,0.003382,2.386301,,,1.399,1278.597,232.773,567.838,1.0,0.4827459650270354,0.0006096320303616,0.0,0.0,0.0,,0.10097779679561472
