pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,er_q,r/rh
0.3108,-0.4906,-0.2412,14,301.22939051177,0.0315,-11.18684883128,0.0181,"4,19066903603842E+018",2.1358,0.0393,1268.0,66.0,-8.56,37.0,,14.8048,0.0005,15.44,0.0022,14027.0,0.0031,1.4129,,,1.28,2409761.0,502887.0,355851.0,0.7,0.0946445855189417,0.0042379234305454,0.0,0.0,0.0,,0.08413449165515381
0.2112,-0.5302,-0.3116,12,301.01434571105,0.1123,-11.41920205892,0.0654,"4,19065790348315E+018",2.2071,0.1376,1136.0,222.0,-8043.0,135.0,,17.3505,0.0011,18.7763,0.0187,16.1708,0.0051,2.6055,,,1.46,989916.0,58.04,210868.0,1.0,0.477365088650425,0.0115350021612384,0.4367644764856587,0.0186897037139242,0.9149485097882846,0.0449628660912008,0.12148234974511256
-161.0,-0.3439,-0.3268,11,300.80143188283,0.0577,-11.19550042872,0.0271,"4,19072325570577E+018",2.0438,0.0572,1259.0,111.0,-8064.0,58.0,,12.4732,0.0003,12.8242,0.0015,11.9589,1.0,0.8653,,,1215.0,3197262.0,726686.0,1140873.0,0.8,1.207029670454421,0.0089905297615422,0.7370098961725149,0.0615161428779304,0.6105979945754327,0.0511674237087965,0.1766422954564832
0.2442,-0.5786,-267.0,13,301.00697580963,0.0681,-11.03721931667,0.0406,"4,19073212051827E+018",2.3256,0.0933,1189.0,146.0,-8.1,0.08,,16.4009,2.0,17.3636,0.0112,15.4285,0.0035,1935.0,,,1345.0,550032.0,96914.0,308508.0,1.0,0.6295990642416339,0.0005602821457518,0.0,0.022470076586548,0.0,,0.22945136354737095
337.0,-0.3533,-0.1559,14,301.67801064926,0.0943,-10.8650927943,0.0668,"4,19077420689942E+018",2.2585,0.1093,1598.0,201.0,-7.63,141.0,,17.4358,1.0,18.6953,0.0146,16.3243,0.0052,2371.0,,,1416.0,1052264.0,74229.0,209125.0,1.0,0.5270581886524844,0.0042640890667562,0.0,0.1013616108519892,0.0,,0.23036107341148546
0.2593,-0.3068,-0.1712,14,301.71337910241,72.0,-10.83732043169,0.0468,"4,1907977476179E+018",2394.0,0.0821,1308.0,151.0,-8101.0,103.0,,16.9846,0.0014,18.1083,0.0103,15.9266,0.0047,2.1817,,,1389.0,757.19,104997.0,229152.0,1.0,0.5732133893883209,0.0010471307460437,0.0,0.0490260551371884,0.0,,0.27857340956303844
0.3771,-0.4139,-0.1888,13,300.9403397191,0.0241,-11.04532067542,0.0148,"4,19073191435986E+018",2277.0,0.0292,1536.0,48.0,-8098.0,0.03,,13.9447,0.0009,14.4323,3.0,13.3017,0.0035,1.1306,,,1238.0,1215106.0,357274.0,311276.0,1.0,0.9329099784974224,0.0008679457775887,0.0,0.1202803667185059,0.0,,0.3091349233247119
0.3525,-0.2407,-0.2455,13,300.96183631929,0.0279,-10.88586402525,0.0171,"4,19073882066737E+018",2.2203,0.0313,1544.0,57.0,-7943.0,35.0,,14.5107,0.0012,15.0684,0.0051,13.8101,0.0034,1.2583,,,1251.0,869555.0,211848.0,320307.0,1.0,0.8437530183843981,0.0005444902509627,0.0,0.0321418820232778,0.0,,0.31358067455893057
0.4667,-0.5053,-0.2479,14,301.25489951433,0.11,-10.67124867366,0.0771,"4,19084193424176E+018",2.2165,0.1361,1902.0,0.23,-7941.0,161.0,,17.7269,0.0012,19.0932,0.0195,16.5677,0.0063,2.5255,,,1447.0,887877.0,55595.0,173328.0,1.0,0.4795853520266613,0.0123236045447743,0.2608540185554975,0.091330591165924,0.5439157335668501,0.1909487775018493,0.3315567636038077
0.1506,-0.4772,-0.2491,14,301.45149303155,0.1155,-10.61191466941,0.0737,"4,19086364959661E+018",2.0859,0.1462,1674.0,258.0,-8348.0,153.0,,17.5545,0.0011,18.9704,0.0211,16.3762,0.0049,2.5943,,,1.46,1018754.0,51399.0,219.47,0.9,0.465282232252322,0.0133932702904372,0.3985932663243366,0.0273535804883103,0.8566698633533463,0.0637515635885401,0.3393297322566302
0.2277,-0.4545,-0.2043,14,301.39437909519,0.0535,-10.50012155853,0.0346,"4,19086863175852E+018",2.2502,0.0671,1501.0,118.0,-7824.0,72.0,,16.2791,0.0011,17.21,0.0075,15.3243,0.0029,1.8857,,,1338.0,1023331.0,145078.0,378301.0,1.0,0.6415369607212865,0.0005780935778169,0.0,0.0096505676556252,0.0,,0.3793652778340681
0.3043,-305.0,-0.1939,13,301.24173957171,0.0429,-10.6303047565,0.0286,"4,19084241527813E+018",2.2562,0.0511,1675.0,93.0,-7844.0,62.0,,16.0122,0.0011,16883.0,0.0055,15.0902,0.0039,1.7928,,,1325.0,983624.0,196707.0,277685.0,1.0,0.0972216535056543,0.0057332475373172,0.0,0.0,0.0,,0.41062802928062575
0.1588,-272.0,-0.3072,13,301.3301399226,0.0705,-10.55506459744,0.0445,"4,19084461430139E+018",2.1639,0.0812,1.46,146.0,-7672.0,96.0,,16.6582,0.0012,17.7037,0.0103,15.6379,0.0033,2.0658,,,1.37,904331.0,105149.0,332857.0,1.0,0.6041944845936559,0.0013203587031146,0.0,0.0758935055072114,0.0,,0.4337444896468049
0.3814,-0.4209,-0.1977,14,301.32803913481,0.0977,-10.56990571502,0.0678,"4,19084451122217E+018",2.3082,0.1196,1214.0,207.0,-7848.0,142.0,,17.3837,0.0014,18.5916,0.0246,16.2756,0.0046,2316.0,,,1423.0,755096.0,44174.0,234.26,1.0,0.534983041214482,0.0014497184758613,0.0,0.0362659687655016,0.0,,0.5218623583179822
0.2454,-0.5286,-0.2254,14,301.54082201171,0.1264,-10.47239446233,0.0828,"4,19086749359023E+018",2.3603,0.1645,1302.0,282.0,-7631.0,168.0,,17924.0,0.0013,19.37,0.0423,16.7314,0.0055,2.6387,,,1471.0,820962.0,25674.0,199187.0,1.0,0.0909504282630798,0.0008094303084884,0.0,0.0,0.0,,0.5424530307417573
0.2874,-0.3197,-0.1925,14,301.25172531891,0.0317,-10.58113319751,0.0209,"4,19084485481958E+018",2.2734,0.0385,1378.0,67.0,-7479.0,45.0,,8.7985,0.0003,8.8581,0.0008,8.6976,0.0011,0.1606,,,1162.0,3179259.0,1443579.0,985984.0,1.0,2.589339880324674,0.0883365238192178,1.944810997810572,0.3155780997974822,0.7510837077003251,0.1245403528985506,0.5546418370713769
0.2875,-0.2954,-0.2596,13,300.97427452555,0.0527,-10.79238749478,0.0303,"4,19083413458054E+018",2.1572,0.0584,1426.0,109.0,-7844.0,62.0,,15.9092,1.0,16.7507,0.0065,15.0137,0.0021,1737.0,,,1.31,1128747.0,167063.0,508174.0,1.0,0.6777355315755116,0.0004206603048614,0.0,0.0,0.0,,0.5579308669382109
0.2841,-0.3247,-0.2546,14,301.25614663189,0.0599,-10.7794659279,0.0391,"4,19083135144228E+018",2.3107,0.0717,1.28,126.0,-8197.0,83.0,,16.5059,0.0009,17.4864,0.0074,15.5163,3.0,1.9701,,,1357.0,1226697.0,146.03,360555.0,1.0,0.6198165931873985,0.0005566871957009,0.0,0.0,0.0,,0.5845773312948609
0.2583,-0.3672,-0.2271,14,301.25218882102,0.0434,-10.63961861224,0.0287,"4,19084234655864E+018",2.1916,0.0527,1623.0,92.0,-7864.0,61.0,,16.0622,0.0018,16.9329,11.0,15.1395,0.0046,1.7933,,,1325.0,590293.0,99017.0,234829.0,1.0,0.6630127781333455,0.0005399261870745,0.0,0.0,0.0,,0.5874503827410679
0.3632,-0.4518,-0.2607,14,301.20626246249,0.0697,-10.62008686154,0.0469,"4,19084320555214E+018",2.3806,0.0859,1388.0,145.0,-7695.0,98.0,,16.8913,0.0013,17.9701,0.01,15.8503,0.0034,2.1198,,,1383.0,864.87,108.53,321176.0,1.0,0.5825265856360096,0.000663631450308,0.0,0.0,0.0,,0.6251455556041954
0.3603,-0.4817,-0.2382,14,301.27902706049,0.1037,-10.86463631993,0.0659,"4,19081887456001E+018",2.1496,0.1242,1307.0,214.0,-8162.0,134.0,,17.5831,0.0011,19.0972,0.0205,16.3761,0.0045,2721.0,,,1477.0,1022078.0,52.86,240728.0,0.8,0.4542177985298359,0.0120763079559743,0.4084733874801738,0.0209764177746721,0.8992896993518907,0.0520036967381143,0.6483003953205333
0.3124,-0.4976,-0.1607,14,301.44798723041,0.0555,-10.41836590094,0.0369,"4,1908712774584E+018",2.2836,0.0726,1285.0,123.0,-8126.0,76.0,,16.4517,0.0019,17.4527,0.0117,15.4647,0.0053,1.9881,,,1349.0,582768.0,92756.0,204985.0,1.0,0.6238413779458054,0.001248166454387,0.0,0.0800471961591071,0.0,,0.6535458688221678
0.1719,-239.0,-0.3698,12,301.06480809276,0.1612,-10.90954568122,0.0933,"4,19082925120703E+018",2.0906,0.1802,818.0,328.0,-7955.0,191.0,,17.9032,0.0014,19.2235,0.0276,16.6864,0.0093,2.5371,,,1524.0,784968.0,39361.0,117056.0,0.6,0.475987573724097,0.0136610532549277,0.0,0.1342158537603959,0.0,,0.6950587951859378
0.2782,-0.4893,-0.0523,13,301.84283819533,104.0,-10.62629080106,0.0665,"4,19085467740551E+018",2.3854,0.1299,1989.0,227.0,-7.74,145.0,,17.4062,0.0011,18.6421,0.0181,16285.0,0.0043,2.3572,,,1431.0,985247.0,60014.0,254187.0,1.0,0.0947252138634044,0.0042657154402967,0.0,0.0,0.0,,0.745917532649449
0.3539,-0.2163,-0.1608,13,301.17344382523,0.0342,-10.85679482907,0.0201,"4,19083062988776E+018",2.2326,0.0365,1625.0,72.0,-8032.0,43.0,,11.8799,0.0003,12.1692,1.0,11.4332,0.0005,736.0,,,1205.0,3912543.0,1097287.0,2122.01,1.0,1.3615348146445136,0.0082779606486996,0.7666417722705736,0.1000120489376293,0.5630717364144213,0.0735351049834126,0.846061707330631
0.3167,-0.4069,-0.2249,14,301.26176410225,0.0845,-10.55744904275,0.0564,"4,19084509533776E+018",2.0833,0.1046,1.25,175.0,-7465.0,117.0,,17.1716,1.0,18.5389,0.0204,16.0112,0.0041,2.5277,,,1449.0,1037.12,53351.0,264502.0,0.7,0.4959589659295552,0.0108660138052394,0.4563225299558442,0.0173072187163083,0.9200812190189523,0.0403003082688969,0.9687227597605857
0.1935,-0.4182,-0.2041,14,301.48702804611,0.0329,-10.62941321702,0.0199,"4,19086347779763E+018",2.2208,0.0418,1481.0,71.0,-7671.0,43.0,,11.94,0.0002,12232.0,1.0,11.4902,0.0006,0.7418,,,1205.0,5519765.0,1129303.0,1773066.0,1.0,0.0972216535056543,0.0057332475373172,0.0,0.0,0.0,,0.9905635816992825
0.4181,-0.6157,-0.1523,13,301.68716661398,0.0437,-10.52562970342,0.0288,"4,19086004182377E+018",2.2054,62.0,1502.0,102.0,-7742.0,62.0,,15.4873,0.0013,16.2331,0.0052,14.6527,0.0043,1.5805,,,1288.0,837592.0,210101.0,253805.0,1.0,0.7194657807434404,0.0004596672344435,0.0,0.0299253804518727,0.0,,1.0
0.1934,-0.2604,-273.0,13,301.14593349778,0.1388,-10.88084183354,0.0767,"4,19082901068281E+018",2.0388,0.1482,2043.0,291.0,-7889.0,159.0,,17.86,0.0013,19.2574,0.0353,16.6922,0.0068,2.5653,,,1451.0,808364.0,30.73,158694.0,0.8,0.4616597911396934,0.0169425985977376,0.2509714357961952,0.1133786550921185,0.5436285347195287,0.2463982253854295,1.0047201146231848
0.3528,-0.3999,-254.0,14,301.26440209974,0.0816,-10.71943116418,0.0523,"4,19083829210946E+018",2.3854,0.0985,1667.0,0.17,-8.11,0.11,,16.3841,0.0009,17.5241,0.0097,15.3135,0.0029,2.2106,,,1399.0,1217158.0,111864.0,369.08,1.0,0.5790342086055479,0.0108150700445672,0.5312240185958744,0.0193995376124912,0.9174311477644616,0.0376310603550745,1.0142199932623734
0.3358,-0.3603,-0.2153,14,301.34513977234,0.0294,-10.67411112961,0.0193,"4,19084028497428E+018",2268.0,0.0352,1381.0,61.0,-7.01,41.0,,14.8866,0.0006,15.6107,0.0036,14.0547,0.0027,1556.0,,,1293.0,1680839.0,304729.0,407804.0,0.6,0.7588393458069195,0.0070725905947263,0.6076306097862669,0.0219188323532886,0.8007368267655347,0.0298332440721476,1.160113635541843
0.1726,-0.2094,-0.2965,12,300.67211319491,0.1123,-10.60602150894,0.0694,"4,19094676580425E+018",2.2822,0.1212,1415.0,234.0,-7613.0,142.0,,17.5702,0.0012,18.8933,0.0304,16.4291,0.0047,2.4642,,,1435.0,926153.0,35691.0,229363.0,1.0,0.4997696247160768,0.0127998096627575,0.2459717095693033,0.1038603867668408,0.4921701868316664,0.2081984596607691,1.216973913325405
0.1977,-0.3693,-0.2908,13,300.53459950206,0.0372,-10.80037325763,0.0217,"4,19093687019955E+018",2.1801,0.0443,1393.0,74.0,-7777.0,44.0,,12.5739,0.0003,12907.0,0.0013,12.0798,0.0009,0.8272,,,1211.0,3232483.0,810573.0,1162198.0,1.0,0.0972216535056543,0.0057332475373172,0.0,0.0,0.0,,1.2931384976310383
0.3838,-0.3873,-0.1848,14,301.23611337528,0.0258,-10.50536280023,0.0173,"4,19103352414253E+018",2.2938,0.0316,1724.0,56.0,-7711.0,39.0,,12.9638,0.0006,13.3455,0.0018,12.4215,0.0014,924.0,,,1218.0,1889511.0,619627.0,757457.0,1.0,1.11517143126871,0.0031996792890193,0.2858585962450508,0.2708992292326418,0.2563360109753123,0.2429227141855977,1.3016126207843208
0.3697,-0.53,-0.3862,11,301.14796732056,0.0802,-10.58286403623,47.0,"4,19103132511927E+018",2.0807,0.1114,1426.0,167.0,-7.71,93.0,,16.6937,0.0009,17.7213,0.0074,15.6857,0.0027,2.0356,,,1363.0,1144484.0,146816.0,402005.0,0.9,0.6013315976001574,0.0006070839782218,0.0,0.0,0.0,,1.3237713928910402
0.2234,-0.5137,-0.1735,14,301.23960264931,0.1031,-10.53849985819,0.0644,"4,19103283694774E+018",2.2628,0.1319,1169.0,225.0,-8184.0,133.0,,17.2967,1.0,18.6625,0.0129,16.1329,0.0044,2.5296,,,1453.0,1063.82,84332.0,249218.0,1.0,0.4882614359833264,0.0119088665982859,0.4352368297182242,0.0208068444988594,0.8914011995268188,0.0478399630507079,1.3929062194438204
0.2692,-0.4005,-0.2337,14,301.39018416147,0.0745,-10.40970287475,0.0489,"4,19105908778786E+018",2.3518,0.0934,1512.0,167.0,-7774.0,104.0,,16.7649,0.0012,17.8186,0.0078,15754.0,0.0044,2.0645,,,1359.0,891.11,139.08,247881.0,1.0,0.0947141244116203,0.0042377059731162,0.0,0.0,0.0,,1.4000425634720475
0.1633,-228.0,-0.5343,10,301.09853984108,0.0954,-10.5530068304,0.0442,"4,1910323902712E+018",2.3481,0.1083,1361.0,134.0,-7929.0,106.0,,10.1723,0.0008,10.2925,0.0026,9.9887,0.0013,0.3039,,,1161.0,1407305.0,415308.0,841929.0,1.0,1.9853708091403208,0.013803589476967,1.1607276330993128,0.0570131896491554,0.5846402232547762,0.0290029019118858,1.5254866481283393
0.1897,-0.3792,-0.2283,14,301.30114928016,0.02,-10.46344170254,0.0121,"4,19105706056331E+018",2258.0,0.0249,1408.0,43.0,-7899.0,26.0,,13.1259,0.0005,13.5124,0.0014,12.5764,0.0011,0.9361,,,1.22,2141.53,785855.0,1007394.0,1.0,1.0842958382589152,0.0006957603903362,0.0,0.0706973366201471,0.0,,1.543852635477097
0.3212,-0.4156,-0.3104,14,300.93955073882,0.0204,-10.59667830313,0.0124,"4,19102871377925E+018",2.2378,0.0241,1553.0,41.0,-8022.0,25.0,,13.5441,0.0011,13.9905,0.0038,12.9371,0.0033,1.0534,,,1231.0,976892.0,288875.0,329644.0,1.0,1.0012900010467658,0.0027087409621197,0.267678629769882,0.247720059447873,0.2673337689281289,0.2474019690504413,1.608500255231735
0.3062,-387.0,-0.2877,14,300.99007093707,0.0305,-10.66862992266,0.0191,"4,19102500292728E+018",2.2374,0.0348,1228.0,62.0,-8641.0,38.0,,14.9538,0.0007,15.5928,0.0042,14.1905,0.0036,1.4023,,,1267.0,1589518.0,261.29,302725.0,0.7,0.7820821409699958,0.0007370322529678,0.0,0.0942260350439417,0.0,,1.6785207611138206
0.3302,-0.3077,-0.3227,13,300.36121726702,0.0352,-10.35423911648,0.0208,"4,19101593195787E+018",2.2821,0.0397,859.0,0.07,-7186.0,41.0,,12.4572,0.0002,12922.0,0.0009,11.8471,0.0007,1.0749,,,1225.0,7137.98,1233763.0,1506502.0,0.4,0.0972216535056543,0.0057332475373172,0.0,0.0,0.0,,1.7529040986375852
0.2913,-0.2378,-0.2311,13,301.03494684073,0.1437,-10.63162260987,0.0877,"4,19102555268325E+018",2.3653,157.0,1557.0,296.0,-8.08,183.0,,17.7417,0.0015,19.0914,0.0211,16.5814,0.0066,2.5101,,,1452.0,714381.0,51552.0,164776.0,1.0,0.4853301013557929,0.0114057144250297,0.1929805168388249,0.1242393531571269,0.3976273392062939,0.2561598837282779,1.7567945978124544
0.2335,-0.4193,-0.1932,14,301.23256513257,0.0238,-10.47797620127,0.0149,"4,19103369594124E+018",2.2309,0.0301,1415.0,52.0,-7781.0,32.0,,14.0867,0.0011,14.5917,0.0037,13.4355,0.0026,1.1562,,,1237.0,1017842.0,293042.0,421841.0,1.0,0.9082643694816316,0.0005685693920574,0.0,0.0385718580974585,0.0,,1.785123661350981
0.2242,-0.2611,-0.2528,14,301.13085175578,0.0353,-10.50848164661,0.0232,"4,19103403953866E+018",2.2281,0.0425,1528.0,76.0,-7918.0,51.0,,11.3499,0.0008,11.5739,0.0011,10.9959,0.0006,578.0,,,1187.0,1310991.0,960365.0,1698707.0,1.0,1.5333865174971693,0.0065790668414173,0.504605976024679,0.3428265668260975,0.3290794397020714,0.2235792471220066,1.821854990348053
0.1433,-658.0,-0.2734,12,301.18260405112,0.0744,-10.3530586753,0.0455,"4,19106252376184E+018",2.1125,0.1076,1751.0,0.18,-7574.0,89.0,,16.6064,0.0011,17555.0,0.0119,15.5802,0.0091,1.9748,,,1402.0,1033492.0,90988.0,119046.0,1.0,0.0972216535056543,0.0057332475373172,0.0,0.0,0.0,,1.8364790772876503
0.2531,-0.5817,-0.1418,13,301.3609159634,0.0821,-10.2207372823,0.0521,"4,19107052958088E+018",2.1628,0.1126,1949.0,189.0,-7527.0,104.0,,17.0405,0.0012,18.1867,0.0155,15.9846,0.0035,2.2021,,,1382.0,887278.0,70191.0,307844.0,1.0,0.5674605006058799,0.0009306983682974,0.0,0.0375810433900489,0.0,,2.0683618739753746
-0.0349,-0.2538,-0.2283,13,301.22060740527,0.0539,-10.43140167661,0.0331,"4,19105822879447E+018",2.0669,0.0622,1854.0,122.0,-7626.0,73.0,,12.0769,0.0002,12.3908,1.0,11.5993,0.0007,0.7914,,,1211.0,5880868.0,1052832.0,1454711.0,1.0,1.3013479474892018,0.0114571686896598,0.8016435441595082,0.0694030556262208,0.6160101498651344,0.0536067160598926,2.0755051489925673
0.2878,-0.3043,-0.2388,14,301.15938835421,0.0427,-10.56546662802,0.0288,"4,19103142819922E+018",2292.0,0.0515,972.0,92.0,-7862.0,64.0,,10.0768,0.0005,10.1786,0.0007,9.9074,0.0006,0.2712,,,1166.0,2238416.0,1506701.0,1692235.0,1.0,2.0526794726651274,0.0143535189642993,1.094985703237044,0.0817196047271993,0.5334421266537794,0.0399855530849216,2.12189763289135
0.2491,-0.4351,-0.2399,14,301.07934223836,109.0,-10.43279038385,0.0746,"4,19103836886577E+018",2.1919,129.0,1521.0,227.0,-7178.0,153.0,,17.5422,0.0013,18.8866,0.0193,16388.0,0.0039,2.4986,,,1446.0,808319.0,56217.0,281167.0,0.9,0.0947252138634044,0.0042657154402967,0.0,0.0,0.0,,2.209867204327499
0.2903,-0.4104,-0.2399,13,300.74851360794,0.0797,-10.49110697969,0.0516,"4,19104592800798E+018",2.1009,0.0913,1916.0,166.0,-7.75,0.11,,16702.0,0.0019,17.7868,0.0139,15.6696,0.0045,2.1172,,,1372.0,573011.0,78132.0,238716.0,0.9,0.0909500265805569,0.0008115003364121,0.0,0.0,0.0,,2.306481802815119
0.2219,-0.4054,-0.1995,14,300.89631835744,0.0226,-10.26773716878,0.0146,"4,19105616721044E+018",2.2403,0.0278,1476.0,48.0,-7929.0,0.03,,13.9667,0.0008,14.4528,0.0023,13.3377,0.0017,1115.0,,,1229.0,1440161.0,473.02,630228.0,1.0,0.9288038640224022,0.0005969539084471,0.0,0.0,0.0,,2.315542309038632
261.0,-0.3829,-133.0,13,301.23690361598,0.0956,-10.43806212417,0.0609,"4,19105805699577E+018",2.1206,0.1155,1499.0,212.0,-7537.0,133.0,,17.3077,1.0,18.4881,0.0269,16.2231,0.0043,2265.0,,,1404.0,1138.0,40403.0,252831.0,1.0,0.5421769627323932,0.0007715198901314,0.0,0.0090044361353821,0.0,,2.3589530564969086
0.3602,-0.5275,-0.2712,13,300.93744785407,39.0,-10.40320252421,0.0256,"4,19104981065873E+018",2.2644,0.0495,1.54,82.0,-7961.0,51.0,,15.6643,0.0008,16.4407,0.0056,14.8053,0.0018,1.6353,,,1298.0,1438149.0,193939.0,595972.0,1.0,0.7020406811288388,0.0005009990274595,0.0,0.0,0.0,,2.4763400306286774
0.2649,-0.3273,-0.2039,14,301.24745784355,0.0415,-10.43320522676,0.0264,"4,19105805699577E+018",2.2792,0.0513,1272.0,91.0,-7.86,57.0,,9.8793,0.0006,9.9627,0.0007,9.7433,0.0007,0.2195,,,1162.0,1958597.0,1504.94,1542633.0,1.0,2.181052557284828,0.0132355590767191,0.7881101718450764,0.4007617822221511,0.3613439617549553,0.1837600460250452,2.4903330788125233
0.3305,-0.3193,-0.2925,12,300.46218325195,0.0218,-10.57717367174,0.0123,"4,19099603766918E+018",2.1952,23.0,1426.0,43.0,-7933.0,25.0,,13.4326,0.0005,13.8518,0.0017,12.8594,0.0011,0.9924,,,1221.0,2356747.0,656952.0,976971.0,1.0,1.024455101134084,0.0005714156555047,0.0,0.0,0.0,,2.499317532542485
0.1495,-0.3894,-0.2272,14,301.30792423463,0.0304,-10.45046651349,0.0186,"4,1910570906246E+018",2.2714,0.0374,1595.0,66.0,-7801.0,39.0,,14.9096,0.0009,15.5878,0.0044,14.1111,0.0029,1.4766,,,1281.0,1172118.0,245379.0,374985.0,1.0,0.7751896687051153,0.0039705629338834,0.5124306661547202,0.0365625111261057,0.6610390809396229,0.0472872647213117,2.762258243683978
0.2481,-221.0,-0.2181,13,300.97444129256,0.1024,-10.74515229494,0.0599,"4,19102228850794E+018",2.2418,0.1098,1277.0,217.0,-7.6,126.0,,17.0929,0.0013,18217.0,0.0094,16.0328,4.0,2.1841,,,1391.0,815493.0,116105.0,271125.0,1.0,0.0972216535056543,0.0057332475373172,0.0,0.0,0.0,,2.804542152451838
0.3272,-0.4391,-0.2745,14,301.24473504943,0.0795,-10.49133285771,0.0531,"4,19103362722175E+018",2.2655,101.0,1392.0,169.0,-7845.0,0.11,,16.5883,1.0,17.6539,0.0085,15.5518,0.0037,2.1021,,,1381.0,1069759.0,127391.0,292.27,1.0,0.6021757986244156,0.0034011964794256,0.3346851978174547,0.041457815397408,0.5557931729936592,0.0689182307729274,2.845378607304598
