Cluster,bin_frac_corr,er_bin_frac,bin_frac_05_corr,er_bin_frac_05,rh,e_rh,t_relax,e_t_relax,tau,e_tau,benchmark
ASCC_10,0.36,0.05,0.32,0.05,4.62,0.77,51.5,13.87,3.8,1.28,False
ASCC_105,0.68,0.22,0.61,0.16,4.37,0.58,71.97,15.94,1.82,0.46,False
ASCC_107,0.3,0.12,0.27,0.12,2.22,0.28,14.92,3.16,3.01,2.57,False
ASCC_108,0.3,0.07,0.27,0.07,15.67,1.01,635.75,88.44,0.27,0.06,False
ASCC_11,0.43,0.03,0.41,0.03,4.07,0.36,70.41,11.71,3.94,1.88,False
ASCC_113,0.49,0.03,0.46,0.03,4.82,0.36,79.21,11.77,3.93,0.99,True
ASCC_114,0.44,0.11,0.41,0.13,2.91,0.29,33.8,6.11,3.75,1.02,False
ASCC_115,0.46,0.07,0.41,0.07,3.24,0.42,28.23,6.16,7.2,3.47,False
ASCC_12,0.41,0.04,0.38,0.04,4.36,0.62,54.13,12.68,5.79,4.45,False
ASCC_127,0.46,0.04,0.43,0.04,3.1,0.39,44.47,9.44,0.8,0.26,False
ASCC_128,0.39,0.2,0.36,0.05,5.92,0.78,82.99,18.35,2.94,0.94,False
ASCC_13,0.44,0.1,0.41,0.1,11.84,0.86,315.57,46.58,0.43,0.08,False
ASCC_16,0.25,0.06,0.22,0.06,2.8,0.25,55.32,9.23,0.36,0.09,True
ASCC_21,0.5,0.02,0.46,0.02,3.16,0.34,48.57,9.16,0.21,0.04,True
ASCC_23,0.49,0.04,0.44,0.04,2.9,0.33,35.05,6.95,8.8,2.44,True
ASCC_29,0.43,0.05,0.36,0.05,2.34,0.32,16.53,3.8,8.14,2.46,True
ASCC_30,0.4,0.04,0.36,0.04,6.74,1.09,98.68,25.81,1.95,0.58,False
ASCC_41,0.42,0.03,0.38,0.03,2.84,0.39,41.8,9.6,2.39,0.55,True
ASCC_67,0.33,0.08,0.3,0.07,8.89,0.43,199.42,24.49,0.43,0.08,False
ASCC_71,0.5,0.04,0.45,0.04,3.99,0.54,45.0,10.12,2.62,0.65,False
ASCC_77,0.3,0.1,0.26,0.08,2.49,0.31,27.58,5.77,5.26,1.42,False
ASCC_85,0.45,0.03,0.42,0.03,4.8,0.43,73.07,12.26,2.53,0.67,False
ASCC_9,0.34,0.05,0.3,0.05,10.93,0.47,231.63,27.53,0.08,0.01,False
ASCC_97,0.5,0.04,0.48,0.04,1.57,0.25,11.54,2.95,10.18,4.7,False
Alessi_10,0.48,0.06,0.44,0.05,1.45,0.44,8.91,4.13,40.58,20.73,True
Alessi_12,0.36,0.11,0.32,0.1,5.78,0.42,131.55,19.41,1.78,0.54,True
Alessi_2,0.55,0.04,0.51,0.04,4.63,0.55,79.28,16.18,4.01,0.88,False
Alessi_21,0.39,0.1,0.35,0.1,4.05,0.47,61.8,12.32,1.62,0.32,True
Alessi_37,0.55,0.04,0.52,0.04,4.7,0.55,71.67,14.49,3.64,1.3,False
Alessi_6,0.59,0.03,0.53,0.03,3.36,0.26,41.81,6.38,10.06,2.65,False
Alessi_62,0.39,0.14,0.38,0.15,2.39,0.32,23.81,5.35,36.25,8.23,False
Alessi_8,0.38,0.06,0.32,0.06,2.74,0.41,22.84,5.63,9.15,2.66,True
Alessi_Teutsch_11,0.4,0.05,0.36,0.05,2.09,0.27,19.64,4.32,9.12,3.39,True
Alessi_Teutsch_3,0.38,0.04,0.35,0.04,3.95,0.66,45.84,12.34,3.25,1.54,False
Antalova_2,0.41,0.19,0.37,0.18,1.37,0.55,8.18,5.0,0.7,0.45,False
BDSB96,0.37,0.17,0.34,0.16,0.79,0.34,3.63,2.37,1.33,0.89,False
BH_164,0.28,0.07,0.26,0.07,3.19,0.27,58.42,9.44,1.01,0.2,True
BH_200,0.35,0.03,0.31,0.12,1.86,0.17,12.71,2.17,2.05,0.47,False
BH_205,0.35,0.07,0.32,0.05,3.13,0.21,45.19,6.38,0.13,0.03,False
BH_23,0.49,0.04,0.46,0.04,2.31,0.52,29.46,10.45,0.95,0.99,True
BH_87,0.39,0.11,0.36,0.08,2.08,0.17,18.9,2.95,1.3,0.61,False
BH_90,0.4,0.11,0.36,0.08,1.57,0.14,13.14,2.24,3.78,2.62,False
BH_92,0.41,0.06,0.35,0.21,0.68,0.17,2.28,0.9,12.36,7.39,False
Basel_11a,0.47,0.05,0.42,0.05,1.61,0.21,13.33,2.92,8.15,2.76,False
Basel_11b,0.48,0.23,0.43,0.05,1.84,0.23,10.95,2.31,26.09,6.12,False
Basel_17,0.38,0.1,0.35,0.1,5.0,0.43,59.39,9.67,1.38,0.28,False
Basel_18,0.4,0.16,0.36,0.14,2.36,0.51,16.87,5.76,1.43,0.51,False
Berkeley_1,0.41,0.15,0.38,0.16,1.89,0.3,9.96,2.58,15.17,17.04,False
Berkeley_10,0.51,0.18,0.48,0.16,2.49,0.21,20.84,3.38,37.68,6.35,False
Berkeley_11,0.44,0.14,0.4,0.14,1.58,0.2,9.6,2.03,6.48,4.84,False
Berkeley_15,0.38,0.11,0.36,0.1,2.29,0.27,20.74,4.15,1.42,0.98,False
Berkeley_28,0.72,0.05,0.65,0.05,1.81,0.23,13.93,2.99,24.05,6.96,False
Berkeley_30,0.59,0.04,0.54,0.04,2.01,0.2,13.14,2.38,33.37,6.43,False
Berkeley_37,0.68,0.03,0.61,0.03,3.64,0.31,44.1,7.18,22.47,3.78,False
Berkeley_4,0.39,0.18,0.37,0.15,2.04,0.25,11.5,2.4,1.12,0.27,False
